time,type,severity,description
2025-07-17 03:25:08,DDoS,low,SQL injection pattern detected
2025-07-17 03:25:09,Malware,high,SQL injection pattern detected
2025-07-17 03:25:10,Phishing,high,Malicious payload detected in network packet
2025-07-17 03:25:11,Malware,medium,Malicious payload detected in network packet
2025-07-17 03:25:12,Brute Force,low,Multiple failed login attempts from same IP
2025-07-17 03:25:13,DDoS,low,Multiple failed login attempts from same IP
2025-07-17 03:25:14,Brute Force,high,Multiple failed login attempts from same IP
2025-07-17 03:25:15,Phishing,low,Malicious payload detected in network packet
2025-07-17 03:25:16,DDoS,medium,Suspicious login attempt detected
2025-07-17 03:25:17,SQL Injection,high,Excessive bandwidth usage detected
2025-07-17 03:25:18,Brute Force,medium,Malicious payload detected in network packet
2025-07-17 03:25:19,Phishing,low,Suspicious login attempt detected
2025-07-17 03:25:20,Malware,high,Excessive bandwidth usage detected
2025-07-17 03:25:21,Malware,low,Excessive bandwidth usage detected
2025-07-17 03:25:22,Malware,medium,Excessive bandwidth usage detected
2025-07-17 03:25:23,Phishing,medium,Suspicious login attempt detected
2025-07-17 03:25:24,SQL Injection,medium,Multiple failed login attempts from same IP
2025-07-17 03:25:25,Malware,low,Excessive bandwidth usage detected
2025-07-17 03:25:26,DDoS,low,Multiple failed login attempts from same IP
2025-07-17 03:25:27,Brute Force,low,Excessive bandwidth usage detected
2025-07-17 03:25:28,Phishing,high,Suspicious login attempt detected
2025-07-17 03:25:29,Brute Force,medium,Suspicious login attempt detected
2025-07-17 03:25:30,DDoS,low,Excessive bandwidth usage detected
2025-07-17 03:25:31,Brute Force,low,Malicious payload detected in network packet
2025-07-17 03:25:32,Brute Force,high,Multiple failed login attempts from same IP
2025-07-17 03:25:33,Malware,low,Excessive bandwidth usage detected
2025-07-17 03:25:34,Brute Force,high,Malicious payload detected in network packet
2025-07-17 03:25:35,Brute Force,low,SQL injection pattern detected
2025-07-17 03:25:36,Phishing,low,Multiple failed login attempts from same IP
2025-07-17 03:25:37,Phishing,high,Malicious payload detected in network packet
2025-07-17 03:25:38,Phishing,medium,Malicious payload detected in network packet
2025-07-17 03:25:39,SQL Injection,high,Multiple failed login attempts from same IP
2025-07-17 03:25:40,Phishing,high,Excessive bandwidth usage detected
2025-07-17 03:25:41,DDoS,low,Excessive bandwidth usage detected
2025-07-17 03:25:42,Phishing,high,Suspicious login attempt detected
2025-07-17 03:25:43,SQL Injection,low,Suspicious login attempt detected
2025-07-17 03:25:44,Phishing,medium,Excessive bandwidth usage detected
2025-07-17 03:25:45,Malware,medium,SQL injection pattern detected
2025-07-17 03:25:46,Malware,low,Excessive bandwidth usage detected
2025-07-17 03:25:47,Malware,high,SQL injection pattern detected
2025-07-17 03:25:49,Phishing,medium,Suspicious login attempt detected
2025-07-17 03:25:50,Brute Force,high,Excessive bandwidth usage detected
2025-07-17 03:25:51,SQL Injection,medium,Excessive bandwidth usage detected
2025-07-17 03:25:52,Phishing,low,Excessive bandwidth usage detected
2025-07-17 03:25:53,DDoS,medium,Malicious payload detected in network packet
2025-07-17 03:25:54,Phishing,medium,Suspicious login attempt detected
2025-07-17 03:25:55,Malware,medium,Malicious payload detected in network packet
2025-07-17 03:25:56,SQL Injection,low,Multiple failed login attempts from same IP
2025-07-17 03:25:57,Brute Force,high,Suspicious login attempt detected
2025-07-17 03:25:58,Phishing,low,SQL injection pattern detected
